OTU	Size	Taxonomy	taxname	phylum	family
Otu0915	18	Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Lactobacillales_unclassified(67);Lactobacillales_unclassified(67);	Otu0915_Lactobacillales_unclassified	Firmicutes	Lactobacillales_unclassified
Otu0916	18	Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Megasphaera(100);	Otu0916_Megasphaera	Firmicutes	Megasphaera
Otu0917	18	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(78);Ruminococcaceae_UCG-014(78);	Otu0917_Ruminococcaceae_UCG-014	Firmicutes	Ruminococcaceae_UCG-014
Otu0918	18	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Butyrivibrio(62);	Otu0918_Butyrivibrio	Firmicutes	Butyrivibrio
Otu0919	18	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Peptostreptococcaceae(100);Terrisporobacter(100);	Otu0919_Terrisporobacter	Firmicutes	Terrisporobacter
Otu0920	18	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Lachnospiraceae_unclassified(100);	Otu0920_Lachnospiraceae_unclassified	Firmicutes	Lachnospiraceae_unclassified
Otu0921	18	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);uncultured(89);	Otu0921_uncultured	Firmicutes	uncultured
Otu0922	18	Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidales_S24-7_group(100);Bacteroidales_S24-7_group_ge(100);	Otu0922_Bacteroidales_S24-7_group_ge	Bacteroidetes	Bacteroidales_S24-7_group_ge
Otu0923	18	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Lachnoclostridium(67);	Otu0923_Lachnoclostridium	Firmicutes	Lachnoclostridium
Otu0924	18	Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidales_S24-7_group(100);Bacteroidales_S24-7_group_ge(100);	Otu0924_Bacteroidales_S24-7_group_ge	Bacteroidetes	Bacteroidales_S24-7_group_ge
