"OTU"	"LogMaxMean"	"Class"	"LDA"	"LDA.abs"	"pValue"	"phylum"	"family"	"family2"
"77"	"Otu0160"	2.62531	"n12"	2.2901	-2.2901	0.011164	"Firmicutes"	"Lachnospiraceae_unclassified"	"Lachnospiraceae_unclassified"
"78"	"Otu0161"	2.93601	"n12"	2.62536	-2.62536	0.011164	"Firmicutes"	"Ruminiclostridium"	"Ruminiclostridium_6"
"79"	"Otu0164"	2.83866	"n12"	2.49078	-2.49078	0.011164	"Firmicutes"	"Lachnospiraceae_unclassified"	"Lachnospiraceae_unclassified"
"80"	"Otu0165"	2.49109	"n12"	2.13114	-2.13114	0.0366275	"Firmicutes"	"Clostridiales_unclassified"	"Clostridiales_unclassified"
"81"	"Otu0168"	2.69029	"n12"	2.35223	-2.35223	0.0365712	"Firmicutes"	"Lachnospiraceae_unclassified"	"Lachnospiraceae_unclassified"
"82"	"Otu0169"	2.5344	"n12"	2.20232	-2.20232	0.011164	"Firmicutes"	"Ruminococcaceae_unclassified"	"Ruminococcaceae_unclassified"
"83"	"Otu0171"	3.1096	"n12"	2.79916	-2.79916	0.011164	"Firmicutes"	"Lachnospiraceae_unclassified"	"Lachnospiraceae_unclassified"
"84"	"Otu0172"	2.60377	"n12"	2.25539	-2.25539	0.0220436	"Firmicutes"	"Lachnospiraceae_unclassified"	"Lachnospiraceae_unclassified"
"85"	"Otu0174"	3.25182	"n12"	2.95335	-2.95335	0.011164	"Actinobacteria"	"Olsenella"	"Olsenella"
"86"	"Otu0176"	2.3828	"n12"	2.13617	-2.13617	0.0220436	"Verrucomicrobia"	"Verrucomicrobiaceae_unclassified"	"Verrucomicrobiaceae_unclassified"
"87"	"Otu0178"	2.34353	"n12"	2.03587	-2.03587	0.011164	"Firmicutes"	"Other"	"Family_XIII_ge"
"88"	"Otu0179"	2.68833	"n12"	2.32908	-2.32908	0.0220436	"Firmicutes"	"Lachnospiraceae_unclassified"	"Lachnospiraceae_unclassified"
